Date,Open,High,Low,Close
03/19/2026,"100.23","100.31","98.98","99.23"
03/18/2026,"99.55","100.31","99.47","100.09"
03/17/2026,"99.86","100.12","99.50","99.58"
03/16/2026,"100.43","100.48","99.66","99.71"
03/13/2026,"99.69","100.54","99.59","100.36"
03/12/2026,"99.45","99.76","99.25","99.74"
03/11/2026,"98.94","99.30","98.70","99.23"
03/10/2026,"98.80","98.95","98.49","98.83"
03/09/2026,"98.86","99.70","98.70","99.18"
03/06/2026,"99.01","99.44","98.84","98.99"
03/05/2026,"98.77","99.41","98.67","99.32"
03/04/2026,"99.11","99.33","98.70","98.77"
03/03/2026,"98.56","99.68","98.44","99.05"
03/02/2026,"97.87","98.75","97.77","98.38"
02/27/2026,"97.75","97.85","97.56","97.61"
02/26/2026,"97.85","98.00","97.62","97.70"
02/25/2026,"97.85","98.00","97.62","97.70"
02/24/2026,"97.70","97.99","97.70","97.84"
02/23/2026,"97.70","97.85","97.36","97.71"
02/20/2026,"97.90","98.08","97.59","97.80"
02/19/2026,"97.73","98.07","97.57","97.93"
02/18/2026,"97.14","97.74","97.12","97.70"
